vendor_source	archives_naming_it	category	prototypes_recovered	generated_header
services/anc_spp_tool/anc_parse_data.c	1	BES		
services/anc_spp_tool/anc_prod_test.c	1	BES		
services/ble_stack/ble_ip/besble.c	1	BES		
services/ble_stack/ble_ip/rwip.c	1	BES		
services/ble_stack/common/src/co_list.c	1	BES		
services/ble_stack/common/src/co_utils.c	1	BES		
services/ble_stack/hci/src/hci.c	1	BES		
services/ble_stack/hci/src/hci_fc.c	1	BES		
services/ble_stack/hci/src/hci_msg.c	1	BES		
services/ble_stack/hci/src/hci_tl.c	1	BES		
services/ble_stack/hl/src/gap/gapc/gapc.c	1	BES		
services/ble_stack/hl/src/gap/gapc/gapc_hci.c	1	BES		
services/ble_stack/hl/src/gap/gapc/gapc_sig.c	1	BES		
services/ble_stack/hl/src/gap/gapc/gapc_task.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_actv.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_adv.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_cfg.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_init.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_leg_air.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_list.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_per_sync.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_scan.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_smp.c	1	BES		
services/ble_stack/hl/src/gap/gapm/gapm_task.c	1	BES		
services/ble_stack/hl/src/gap/smpc/smpc.c	1	BES		
services/ble_stack/hl/src/gap/smpc/smpc_api.c	1	BES		
services/ble_stack/hl/src/gap/smpc/smpc_crypto.c	1	BES		
services/ble_stack/hl/src/gap/smpc/smpc_util.c	1	BES		
services/ble_stack/hl/src/gatt/attc/attc.c	1	BES		
services/ble_stack/hl/src/gatt/attm/attm.c	1	BES		
services/ble_stack/hl/src/gatt/attm/attm_db.c	1	BES		
